,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2002–2022
current US$ (billion),201,239,274,291,316,349,390,404,421,420,406,406,399,452,465,484,516,556,571,600,597,
% change,,18.9%,14.7%,6.2%,8.3%,10.5%,11.9%,3.5%,4.1%,-0.1%,-3.5%,0.2%,-1.7%,13.1%,2.9%,4.2%,6.4%,7.8%,2.8%,5.0%,-0.4%,197.0%
,,,,,,,,,,,,,,,,,,,,,,
constant 2022 US$ (billion),318,355,387,398,419,438,466,500,508,482,461,450,439,522,543,552,572,616,627,619,597,
% change,,11.6%,8.9%,3.0%,5.1%,4.5%,6.6%,7.3%,1.6%,-5.2%,-4.3%,-2.3%,-2.6%,19.0%,4.0%,1.8%,3.6%,7.7%,1.8%,-1.3%,-3.5%,87.7%
