Symbol,Year,Name,Country,Category,Market cap,Revenue,Earnings
BA,2022,Boeing,USA,Aircraft manufacturers|Aerospace|Dow jones|Manufacturing,$113.52 B,$66.60 B,$-5.03 B
BA,2023,Boeing,USA,Aircraft manufacturers|Aerospace|Dow jones|Manufacturing,$157.69 B,$77.79 B,$-2.01 B
BEL.NS,2005,Bharat Electronics,India,Electronics|Aerospace|Defense contractors,$1.04 B,,
BEL.NS,2006,Bharat Electronics,India,Electronics|Aerospace|Defense contractors,$1.41 B,,
BEL.NS,2007,Bharat Electronics,India,Electronics|Aerospace|Defense contractors,$2.21 B,,
BEL.NS,2008,Bharat Electronics,India,Electronics|Aerospace|Defense contractors,$0.78 B,,
BEL.NS,2009,Bharat Electronics,India,Electronics|Aerospace|Defense contractors,$2.03 B,,
BEL.NS,2010,Bharat Electronics,India,Electronics|Aerospace|Defense contractors,$1.85 B,,
BEL.NS,2011,Bharat Electronics,India,Electronics|Aerospace|Defense contractors,$1.41 B,,
BEL.NS,2012,Bharat Electronics,India,Electronics|Aerospace|Defense contractors,$1.37 B,,
BEL.NS,2013,Bharat Electronics,India,Electronics|Aerospace|Defense contractors,$1.08 B,,
BEL.NS,2014,Bharat Electronics,India,Electronics|Aerospace|Defense contractors,$3.09 B,,
BEL.NS,2015,Bharat Electronics,India,Electronics|Aerospace|Defense contractors,$4.31 B,,
BEL.NS,2016,Bharat Electronics,India,Electronics|Aerospace|Defense contractors,$1.44 B,,
BEL.NS,2017,Bharat Electronics,India,Electronics|Aerospace|Defense contractors,$5.87 B,,
BEL.NS,2018,Bharat Electronics,India,Electronics|Aerospace|Defense contractors,$2.81 B,,
BEL.NS,2019,Bharat Electronics,India,Electronics|Aerospace|Defense contractors,$3.20 B,$1.52 B,$0.27 B
BEL.NS,2020,Bharat Electronics,India,Electronics|Aerospace|Defense contractors,$3.83 B,$1.71 B,$0.32 B
BEL.NS,2021,Bharat Electronics,India,Electronics|Aerospace|Defense contractors,$6.71 B,$2.11 B,$0.48 B
BEL.NS,2022,Bharat Electronics,India,Electronics|Aerospace|Defense contractors,$8.82 B,$2.18 B,$0.46 B
BEL.NS,2023,Bharat Electronics,India,Electronics|Aerospace|Defense contractors,$16.18 B,,
BSP.F,2001,BAE Systems,UK,Defense contractors|Aerospace,$16.78 B,$11.73 B,$.09 B
BSP.F,2002,BAE Systems,UK,Defense contractors|Aerospace,$6.50 B,$10.47 B,$-0.8 B
BSP.F,2003,BAE Systems,UK,Defense contractors|Aerospace,$8.08 B,$15.00 B,$0.41 B
BSP.F,2004,BAE Systems,UK,Defense contractors|Aerospace,$10.78 B,$16.92 B,$1.19 B
BSP.F,2005,BAE Systems,UK,Defense contractors|Aerospace,$20.56 B,$18.94 B,$0.95 B
BSP.F,2006,BAE Systems,UK,Defense contractors|Aerospace,$23.04 B,$24.22 B,$1.68 B
BSP.F,2007,BAE Systems,UK,Defense contractors|Aerospace,$25.96 B,$28.42 B,$2.45 B
BSP.F,2008,BAE Systems,UK,Defense contractors|Aerospace,$14.80 B,$24.43 B,$3.47 B
BSP.F,2009,BAE Systems,UK,Defense contractors|Aerospace,$15.13 B,$32.96 B,$0.43 B
BSP.F,2010,BAE Systems,UK,Defense contractors|Aerospace,$15.14 B,$32.38 B,$2.17 B
BSP.F,2011,BAE Systems,UK,Defense contractors|Aerospace,$12.17 B,$27.56 B,$2.27 B
BSP.F,2012,BAE Systems,UK,Defense contractors|Aerospace,$16.26 B,$26.97 B,$1.94 B
BSP.F,2013,BAE Systems,UK,Defense contractors|Aerospace,$18.35 B,$27.81 B,$0.69 B
BSP.F,2014,BAE Systems,UK,Defense contractors|Aerospace,$20.98 B,$24.02 B,$1.37 B
BSP.F,2015,BAE Systems,UK,Defense contractors|Aerospace,$23.60 B,$24.87 B,$1.61 B
BSP.F,2016,BAE Systems,UK,Defense contractors|Aerospace,$24.04 B,$21.96 B,$1.42 B
BSP.F,2017,BAE Systems,UK,Defense contractors|Aerospace,$22.63 B,$23.28 B,$1.45 B
BSP.F,2018,BAE Systems,UK,Defense contractors|Aerospace,$17.93 B,$21.35 B,$1.55 B
BSP.F,2019,BAE Systems,UK,Defense contractors|Aerospace,$23.34 B,$24.00 B,$2.13 B
BSP.F,2020,BAE Systems,UK,Defense contractors|Aerospace,$19.20 B,$26.27 B,$2.17 B
BSP.F,2021,BAE Systems,UK,Defense contractors|Aerospace,$22.85 B,$26.35 B,$2.84 B
BSP.F,2022,BAE Systems,UK,Defense contractors|Aerospace,$30.21 B,$25.76 B,$2.41 B
BSP.F,2023,BAE Systems,UK,Defense contractors|Aerospace,$42.70 B,$29.37 B,$2.96 B
EADSF,2009,Airbus,Netherlands,Aircraft manufacturers|Aerospace|CAC 40|Manufacturing|DAX,$16.05 B,$60.41 B,$-0.73 B
EADSF,2010,Airbus,Netherlands,Aircraft manufacturers|Aerospace|CAC 40|Manufacturing|DAX,$18.75 B,$60.19 B,$1.62 B
EADSF,2011,Airbus,Netherlands,Aircraft manufacturers|Aerospace|CAC 40|Manufacturing|DAX,$25.35 B,$67.32 B,$2.00 B
EADSF,2012,Airbus,Netherlands,Aircraft manufacturers|Aerospace|CAC 40|Manufacturing|DAX,$32.07 B,$73.56 B,$3.14 B
EADSF,2013,Airbus,Netherlands,Aircraft manufacturers|Aerospace|CAC 40|Manufacturing|DAX,$60.13 B,$77.71 B,$3.27 B
EADSF,2014,Airbus,Netherlands,Aircraft manufacturers|Aerospace|CAC 40|Manufacturing|DAX,$39.43 B,$78.71 B,$4.77 B
EADSF,2015,Airbus,Netherlands,Aircraft manufacturers|Aerospace|CAC 40|Manufacturing|DAX,$53.13 B,$71.28 B,$4.46 B
EADSF,2016,Airbus,Netherlands,Aircraft manufacturers|Aerospace|CAC 40|Manufacturing|DAX,$51.31 B,$73.03 B,$2.06 B
EADSF,2017,Airbus,Netherlands,Aircraft manufacturers|Aerospace|CAC 40|Manufacturing|DAX,$76.72 B,$71.68 B,$5.21 B
EADSF,2018,Airbus,Netherlands,Aircraft manufacturers|Aerospace|CAC 40|Manufacturing|DAX,$74.50 B,$74.37 B,$5.47 B
EADSF,2019,Airbus,Netherlands,Aircraft manufacturers|Aerospace|CAC 40|Manufacturing|DAX,$114.34 B,$78.87 B,$1.61 B
EADSF,2020,Airbus,Netherlands,Aircraft manufacturers|Aerospace|CAC 40|Manufacturing|DAX,$86.54 B,$58.54 B,$-0.62 B
EADSF,2021,Airbus,Netherlands,Aircraft manufacturers|Aerospace|CAC 40|Manufacturing|DAX,$99.97 B,$60.58 B,$6.26 B
EADSF,2022,Airbus,Netherlands,Aircraft manufacturers|Aerospace|CAC 40|Manufacturing|DAX,$93.30 B,$61.96 B,$5.86 B
EADSF,2023,Airbus,Netherlands,Aircraft manufacturers|Aerospace|CAC 40|Manufacturing|DAX,$121.6 B,$71.14 B,$6.01 B
GD,2001,General Dynamics,USA,Defense contractors,$15.98 B,$12.16 B,$1.47 B
GD,2002,General Dynamics,USA,Defense contractors,$17.26 B,$13.82 B,$1.64 B
GD,2003,General Dynamics,USA,Defense contractors,$17.89 B,$16.61 B,$1.48 B
GD,2004,General Dynamics,USA,Defense contractors,$21.02 B,$19.18 B,$2.51 B
GD,2005,General Dynamics,USA,Defense contractors,$22.83 B,$21.24 B,$2.37 B
GD,2006,General Dynamics,USA,Defense contractors,$30.16 B,$24.08 B,$2.77 B
GD,2007,General Dynamics,USA,Defense contractors,$35.95 B,$27.24 B,$3.17 B
GD,2008,General Dynamics,USA,Defense contractors,$22.45 B,$29.30 B,$3.73 B
GD,2009,General Dynamics,USA,Defense contractors,$26.29 B,$31.98 B,$3.68 B
GD,2010,General Dynamics,USA,Defense contractors,$26.40 B,$32.46 B,$3.95 B
GD,2011,General Dynamics,USA,Defense contractors,$23.64 B,$32.67 B,$3.87 B
GD,2012,General Dynamics,USA,Defense contractors,$24.69 B,$31.51 B,$0.70 B
GD,2013,General Dynamics,USA,Defense contractors,$33.76 B,$31.21 B,$3.71 B
GD,2014,General Dynamics,USA,Defense contractors,$45.71 B,$30.91 B,$3.90 B
GD,2015,General Dynamics,USA,Defense contractors,$42.99 B,$31.46 B,$4.20 B
GD,2016,General Dynamics,USA,Defense contractors,$52.57 B,$31.35 B,$4.33 B
GD,2017,General Dynamics,USA,Defense contractors,$60.74 B,$30.97 B,$4.19 B
GD,2018,General Dynamics,USA,Defense contractors,$45.38 B,$36.19 B,$4.45 B
GD,2019,General Dynamics,USA,Defense contractors,$51.07 B,$39.35 B,$4.67 B
GD,2020,General Dynamics,USA,Defense contractors,$42.70 B,$37.92 B,$4.22 B
GD,2021,General Dynamics,USA,Defense contractors,$57.87 B,$38.48 B,$4.33 B
GD,2022,General Dynamics,USA,Defense contractors,$68.11 B,$39.40 B,$4.42 B
GD,2023,General Dynamics,USA,Defense contractors,$70.86 B,$42.27 B,$4.38 B
HAL.NS,2018,Hindustan Aeronautics,India,Aerospace|Defense contractors,$3.87 B,,
HAL.NS,2019,Hindustan Aeronautics,India,Aerospace|Defense contractors,$3.43 B,$3.01 B,$0.61 B
HAL.NS,2020,Hindustan Aeronautics,India,Aerospace|Defense contractors,$3.86 B,$2.95 B,$0.59 B
HAL.NS,2021,Hindustan Aeronautics,India,Aerospace|Defense contractors,$5.44 B,$3.16 B,$0.65 B
HAL.NS,2022,Hindustan Aeronautics,India,Aerospace|Defense contractors,$10.22 B,$3.26 B,$0.79 B
HAL.NS,2023,Hindustan Aeronautics,India,Aerospace|Defense contractors,$22.55 B,$3.40 B,$0.88 B
HII,2010,Huntington Ingalls Industries,USA,Defense contractors,,$6.72 B,$0.23 B
HII,2011,Huntington Ingalls Industries,USA,Defense contractors,$1.52 B,$6.57 B,$0.11 B
HII,2012,Huntington Ingalls Industries,USA,Defense contractors,$2.14 B,$6.70 B,$0.35 B
HII,2013,Huntington Ingalls Industries,USA,Defense contractors,$4.38 B,$6.82 B,$0.51 B
HII,2014,Huntington Ingalls Industries,USA,Defense contractors,$5.43 B,$6.95 B,$0.65 B
HII,2015,Huntington Ingalls Industries,USA,Defense contractors,$5.94 B,$7.02 B,$0.76 B
HII,2016,Huntington Ingalls Industries,USA,Defense contractors,$8.54 B,$7.06 B,$0.85 B
HII,2017,Huntington Ingalls Industries,USA,Defense contractors,$10.66 B,$7.44 B,$0.86 B
HII,2018,Huntington Ingalls Industries,USA,Defense contractors,$7.97 B,$8.17 B,$1.02 B
HII,2019,Huntington Ingalls Industries,USA,Defense contractors,$10.23 B,$8.89 B,$0.75 B
HII,2020,Huntington Ingalls Industries,USA,Defense contractors,$6.90 B,$9.36 B,$0.92 B
HII,2021,Huntington Ingalls Industries,USA,Defense contractors,$7.48 B,$9.52 B,$0.71 B
HII,2022,Huntington Ingalls Industries,USA,Defense contractors,$9.20 B,$10.67 B,$0.82 B
HII,2023,Huntington Ingalls Industries,USA,Defense contractors,$10.31 B,$11.45 B,$0.94 B
HO.PA,2001,Thales,France,Defense contractors|CAC 40,,$11.18 B,$0.70 B
HO.PA,2002,Thales,France,Defense contractors|CAC 40,,$12.10 B,$0.65 B
HO.PA,2003,Thales,France,Defense contractors|CAC 40,$5.76 B,$13.30 B,$0.87 B
HO.PA,2004,Thales,France,Defense contractors|CAC 40,$8.23 B,$13.94 B,$3.16 B
HO.PA,2005,Thales,France,Defense contractors|CAC 40,$7.79 B,$12.12 B,$2.73 B
