This Year's Rank,Company,Country,2023 Defense Revenue (in billions),2023 US Contracts (in billions),2022 Defense Revenue (in billions),2022 US Contracts (in billions),2021 Defense Revenue (in billions),Revenue From Defense,,
1,Lockheed Martin,U.S.,$67.60 ,$49.20 ,$63.30 ,$46.20 ,$64.50 ,96%,,
2,RTX,U.S.,$40.60 ,$27.80 ,$39.60 ,$26.10 ,$41.90 ,59%,,
3,Northrop Grumman,U.S.,$35.20 ,$15.10 ,$32.40 ,$13.80 ,$31.40 ,89%,,
4,General Dynamics,U.S.,$33.70 ,$23 ,$30.40 ,$21.60 ,$30.80 ,77%,,
5,Boeing,U.S.,$32.70 ,$21.80 ,$30.80 ,$14.80 ,$35.10 ,46%,,
